City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
261,namibe,-15.1961,12.1522,290.78,75,0,5.27,AO,1719791964
262,aripuana,-9.1667,-60.6333,298.73,53,38,1.13,BR,1719791965
263,cestos city,5.46,-9.5828,298.05,89,96,3.98,LR,1719791966
264,bogale,16.2833,95.4,298.63,89,100,2.09,MM,1719791968
265,dholka,22.7167,72.4667,300.36,83,100,4.44,IN,1719791969
266,kumylzhenskaya,49.8809,42.5898,292.68,64,6,1.02,RU,1719791971
267,parauapebas,-6.0675,-49.9022,297.9,58,5,0.51,BR,1719791973
268,ad darb,17.7229,42.2526,307.32,35,87,2.59,SA,1719791975
269,hamilton,39.1834,-84.5333,298.55,54,0,2.68,US,1719791976
270,chonchi,-42.6128,-73.8092,278.77,92,97,0.75,CL,1719791978
271,altai,46.3722,96.2583,292.17,33,58,2.12,MN,1719791979
272,fortuna foothills,32.6578,-114.4119,312.96,28,53,7.56,US,1719791981
273,vershino-darasunskiy,52.35,115.5167,297.72,41,48,0.66,RU,1719791982
274,tolanaro,-25.0319,46.9987,294.19,78,20,2.06,MG,1719791986
275,iskateley,67.6803,53.1512,276.27,91,77,3.71,RU,1719791987
276,vorgashor,67.5833,63.95,273.97,82,31,5.21,RU,1719791989
277,port lincoln,-34.7333,135.8667,285.04,68,55,1.41,AU,1719791990
278,amahai,-3.3333,128.9167,298.67,88,100,1.6,ID,1719791991
279,katsuura,35.1333,140.3,299.16,91,100,13.36,JP,1719791748
280,mbaiki,3.8678,17.9892,297.01,62,99,0.89,CF,1719791994
281,polovinnoye,54.7914,65.9864,286.61,98,94,4.0,RU,1719791996
282,amga,60.8953,131.9608,295.3,36,84,4.62,RU,1719791999
283,salekhard,66.53,66.6019,280.42,65,48,3.2,RU,1719792001
284,klaksvik,62.2266,-6.589,282.66,89,62,3.8,FO,1719792009
285,ola,59.5833,151.2833,281.18,98,100,6.48,RU,1719792026
286,bangassou,4.7413,22.8184,293.72,80,90,0.63,CF,1719792028
287,manuguru,17.981,80.7547,298.12,93,100,1.13,IN,1719792030
288,kampung sungai ara,5.327,100.2735,300.1,89,40,2.06,MY,1719792031
289,solleftea,63.1667,17.2667,288.07,90,92,1.68,SE,1719792033
290,loikaw,19.6742,97.2094,294.28,93,100,1.9,MM,1719792035
291,estacion coahuila,32.1939,-115.0017,309.99,31,29,8.92,MX,1719792036
292,kathmandu,27.7167,85.3167,295.27,100,75,1.54,NP,1719792009
293,hami,42.8,93.45,303.88,19,100,5.52,CN,1719792040
294,belyy yar,53.6039,91.3903,294.09,83,0,1.0,RU,1719792041
295,atafu village,-8.5421,-172.5159,301.5,79,86,9.63,TK,1719792043
296,tofol,5.3248,163.0078,303.03,79,75,2.57,FM,1719792045
297,greeley,40.4233,-104.7091,306.69,37,45,5.7,US,1719792048
298,vilyuysk,63.7553,121.6247,296.47,54,40,4.7,RU,1719792050
299,rio gallegos,-51.6226,-69.2181,271.88,88,35,4.83,AR,1719792052
300,adrar,20.5022,-10.0711,307.43,9,1,4.63,MR,1719792054
301,kyzyl-suu,42.3414,78.0056,287.2,75,62,1.46,KG,1719792056
302,talcahuano,-36.7167,-73.1167,283.25,80,93,0.8,CL,1719792057
303,chauk,20.8833,94.8167,300.24,73,100,8.4,MM,1719792059
304,cidreira,-30.1811,-50.2056,280.59,75,0,4.6,BR,1719792064
305,cova figueira,14.8905,-24.2934,294.63,81,7,4.61,CV,1719792066
306,saldanha,-33.0117,17.9442,286.24,88,96,3.7,ZA,1719792068
307,matamba,-8.9833,33.9667,282.54,84,6,1.92,TZ,1719792069
